City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,piti village,13.4626,144.6933,25.03,85,20,2.06,GU,1709413832
1,outjo,-20.1167,16.15,25.13,37,74,2.99,NA,1709414004
2,changji,44.0167,87.3167,-9.56,79,100,1.0,CN,1709414004
3,kencong,-8.2833,113.3667,25.06,90,100,1.12,ID,1709414004
4,longyearbyen,78.2186,15.6401,-8.09,73,75,1.03,SJ,1709413725
5,ribeira grande,38.5167,-28.7,16.22,63,75,7.2,PT,1709413799
6,olonkinbyen,70.9221,-8.7187,-1.85,62,31,6.05,SJ,1709414004
7,grytviken,-54.2811,-36.5092,5.66,81,100,3.18,GS,1709414005
8,tiksi,71.6872,128.8694,-30.29,100,90,0.92,RU,1709414005
9,el porvenir,13.7617,-87.3458,32.63,20,17,2.69,HN,1709414005
10,alice springs,-23.7,133.8833,24.75,89,100,0.0,AU,1709414005
11,iqaluit,63.7506,-68.5145,-26.84,62,98,0.4,CA,1709413789
12,kodiak,57.79,-152.4072,-3.27,43,0,5.66,US,1709414005
13,uturoa,-16.7333,-151.4333,28.7,75,100,6.36,PF,1709414005
14,batyrevo,55.0675,47.6111,-4.33,98,96,0.39,RU,1709414005
15,inhambane,-23.865,35.3833,24.42,86,0,3.12,MZ,1709414006
16,port-aux-francais,-49.35,70.2167,6.17,96,100,13.47,TF,1709414006
17,ascension,30.2169,-90.9001,23.12,77,40,2.06,US,1709414006
18,maceio,-9.6658,-35.7353,29.69,74,20,4.12,BR,1709414006
19,onguday,50.75,86.15,-9.93,97,100,0.29,RU,1709414006
20,bethel,41.3712,-73.414,9.36,86,100,2.06,US,1709414006
21,tura,25.5198,90.2201,17.83,45,0,1.08,IN,1709413928
22,kapa'a,22.0752,-159.319,25.99,69,40,5.66,US,1709413818
23,kone,-21.0595,164.8658,28.51,71,16,1.42,NC,1709414007
24,korla,41.7597,86.1469,-0.04,52,86,1.84,CN,1709414007
25,queenstown,-31.8976,26.8753,16.81,92,30,2.27,ZA,1709414007
26,fukuecho,32.6881,128.8419,8.65,50,98,5.78,JP,1709414007
